Year,Month,Days Since Sept 3rd 2000,#,Statium,Roof Type,Surface Type,Field Goals Made,Field Goals Missed,Temperture,Realtive Humitity,Wind Speed,Wind Chill
2000,September,0,1,Hubert H. Humphrey Metrodome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2000,September,0,3,Georgia Dome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2000,September,0,7,Louisiana Superdome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2000,September,1,14,TWA Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2000,September,7,15,Hubert H. Humphrey Metrodome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2000,September,7,17,RCA Dome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
2000,September,7,27,Pontiac Silverdome,dome,astroturf,6,6,N/A,N/A,N/A,N/A
2000,September,14,34,TWA Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2000,September,14,36,Pontiac Silverdome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
2000,September,21,45,Georgia Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2000,September,21,47,Louisiana Superdome,dome,astroturf,0,0,N/A,N/A,N/A,N/A
2000,September,22,57,RCA Dome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2000,October,29,59,Pontiac Silverdome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2000,October,29,61,TWA Dome,dome,astroturf,6,7,N/A,N/A,N/A,N/A
2000,October,36,73,Pontiac Silverdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2000,October,36,75,Pro Player Stadium,outdoors,grass,4,4,N/A,N/A,N/A,N/A
2000,October,36,80,Georgia Dome,dome,astroturf,4,5,N/A,N/A,N/A,N/A
2000,October,37,85,Hubert H. Humphrey Metrodome,dome,astroturf,6,8,N/A,N/A,N/A,N/A
2000,October,43,90,TWA Dome,dome,astroturf,0,0,N/A,N/A,N/A,N/A
2000,October,43,92,Louisiana Superdome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2000,October,50,102,RCA Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2000,October,50,106,Hubert H. Humphrey Metrodome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2000,October,50,109,Georgia Dome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2000,October,57,116,Georgia Dome,dome,astroturf,6,8,N/A,N/A,N/A,N/A
2000,October,57,120,RCA Dome,dome,astroturf,1,2,N/A,N/A,N/A,N/A
2000,November,63,128,Pontiac Silverdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2000,November,63,129,Georgia Dome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2000,November,63,131,Louisiana Superdome,dome,astroturf,1,2,N/A,N/A,N/A,N/A
2000,November,63,141,TWA Dome,dome,astroturf,5,7,N/A,N/A,N/A,N/A
2000,November,70,144,Hubert H. Humphrey Metrodome,dome,astroturf,1,1,N/A,N/A,N/A,N/A
2000,November,70,145,Pontiac Silverdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2000,November,70,156,RCA Dome,dome,astroturf,3,5,N/A,N/A,N/A,N/A
2000,November,77,159,Hubert H. Humphrey Metrodome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2000,November,77,161,Louisiana Superdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2000,November,78,172,TWA Dome,dome,astroturf,6,6,N/A,N/A,N/A,N/A
2000,November,81,173,Pontiac Silverdome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2000,November,84,180,TWA Dome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2000,November,84,182,RCA Dome,dome,astroturf,1,2,N/A,N/A,N/A,N/A
2000,November,88,188,Hubert H. Humphrey Metrodome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2000,December,92,194,Louisiana Superdome,dome,astroturf,4,5,N/A,N/A,N/A,N/A
2000,December,92,197,Georgia Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2000,December,99,203,Arrowhead Stadium,outdoors,grass,3,4,N/A,N/A,N/A,N/A
2000,December,99,214,TWA Dome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2000,December,100,217,RCA Dome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2000,December,106,221,Hubert H. Humphrey Metrodome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2000,December,106,226,Louisiana Superdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2000,December,113,237,Pontiac Silverdome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2000,December,113,239,Louisiana Superdome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2000,December,113,243,Georgia Dome,dome,astroturf,5,6,N/A,N/A,N/A,N/A
2000,December,113,245,RCA Dome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2000,December,119,249,Louisiana Superdome,dome,astroturf,1,1,N/A,N/A,N/A,N/A
2001,January,126,252,Hubert H. Humphrey Metrodome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2001,September,371,262,Hubert H. Humphrey Metrodome,dome,astroturf,1,2,N/A,N/A,N/A,N/A
2001,September,385,276,RCA Dome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
2001,September,385,280,Georgia Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2001,September,392,288,Dome at America's Center,dome,astroturf,1,1,N/A,N/A,N/A,N/A
2001,September,392,289,Hubert H. Humphrey Metrodome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2001,October,400,302,Louisiana Superdome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2001,October,400,308,Georgia Dome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
2001,October,401,316,Pontiac Silverdome,dome,astroturf,0,0,N/A,N/A,N/A,N/A
2001,October,407,318,Dome at America's Center,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2001,October,407,320,Hubert H. Humphrey Metrodome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2001,October,407,325,Georgia Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2001,October,407,329,RCA Dome,dome,astroturf,5,6,N/A,N/A,N/A,N/A
2001,October,414,332,Louisiana Superdome,dome,astroturf,4,5,N/A,N/A,N/A,N/A
2001,October,414,333,RCA Dome,dome,astroturf,4,6,N/A,N/A,N/A,N/A
2001,October,414,334,Pontiac Silverdome,dome,astroturf,5,6,N/A,N/A,N/A,N/A
2001,October,414,341,Hubert H. Humphrey Metrodome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
2001,October,421,345,Pontiac Silverdome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2001,October,421,349,Dome at America's Center,dome,astroturf,6,7,N/A,N/A,N/A,N/A
2001,November,427,358,Georgia Dome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
2001,November,427,370,Louisiana Superdome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2001,November,434,372,RCA Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2001,November,434,376,Dome at America's Center,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2001,November,434,378,Pontiac Silverdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2001,November,434,380,Georgia Dome,dome,astroturf,4,5,N/A,N/A,N/A,N/A
2001,November,441,393,Louisiana Superdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2001,November,442,401,Hubert H. Humphrey Metrodome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2001,November,445,402,Pontiac Silverdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2001,November,448,404,RCA Dome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2001,November,448,415,Hubert H. Humphrey Metrodome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2001,November,449,416,Dome at America's Center,dome,astroturf,4,5,N/A,N/A,N/A,N/A
2001,December,456,425,Louisiana Superdome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2001,December,456,427,Georgia Dome,dome,astroturf,2,5,N/A,N/A,N/A,N/A
2001,December,463,432,Hubert H. Humphrey Metrodome,dome,astroturf,1,1,N/A,N/A,N/A,N/A
2001,December,463,439,Dome at America's Center,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2001,December,463,441,Georgia Dome,dome,astroturf,1,2,N/A,N/A,N/A,N/A
2001,December,470,449,RCA Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2001,December,470,453,Pontiac Silverdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2001,December,471,461,Louisiana Superdome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2001,December,477,466,Hubert H. Humphrey Metrodome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2001,December,477,473,Georgia Dome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2001,December,477,476,RCA Dome,dome,astroturf,7,9,N/A,N/A,N/A,N/A
2001,December,484,482,Dome at America's Center,dome,astroturf,1,1,N/A,N/A,N/A,N/A
2001,December,484,484,Pontiac Silverdome,dome,astroturf,1,1,N/A,N/A,N/A,N/A
2001,December,484,491,Louisiana Superdome,dome,astroturf,5,6,N/A,N/A,N/A,N/A
2002,January,491,492,Louisiana Superdome,dome,astroturf,1,1,N/A,N/A,N/A,N/A
2002,January,491,493,RCA Dome,dome,astroturf,6,7,N/A,N/A,N/A,N/A
2002,January,491,498,Pontiac Silverdome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
2002,January,491,501,Dome at America's Center,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2002,January,505,514,Dome at America's Center,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2002,January,512,516,Dome at America's Center,dome,astroturf,4,5,N/A,N/A,N/A,N/A
2002,February,516,517,Louisiana Superdome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2002,September,735,532,Reliant Stadium,retractable roof (closed),grass,2,3,N/A,N/A,N/A,N/A
2002,September,742,534,RCA Dome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2002,September,742,540,Georgia Dome,dome,astroturf,2,5,N/A,N/A,N/A,N/A
2002,September,742,542,Louisiana Superdome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2002,September,742,543,Edward Jones Dome,dome,astroturf,4,5,N/A,N/A,N/A,N/A
2002,September,742,546,Hubert H. Humphrey Metrodome,dome,astroturf,6,8,N/A,N/A,N/A,N/A
2002,September,749,550,Hubert H. Humphrey Metrodome,dome,astroturf,0,2,N/A,N/A,N/A,N/A
2002,September,749,561,Ford Field,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
2002,September,749,562,Georgia Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2002,September,756,569,Edward Jones Dome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2002,September,756,570,Ford Field,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
2002,October,764,578,RCA Dome,dome,astroturf,0,0,N/A,N/A,N/A,N/A
2002,October,764,582,Louisiana Superdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2002,October,764,583,Georgia Dome,dome,astroturf,4,5,N/A,N/A,N/A,N/A
2002,October,771,592,RCA Dome,dome,astroturf,7,7,N/A,N/A,N/A,N/A
2002,October,771,593,Hubert H. Humphrey Metrodome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
2002,October,771,597,Reliant Stadium,retractable roof (closed),grass,2,2,N/A,N/A,N/A,N/A
2002,October,771,602,Edward Jones Dome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2002,October,778,608,Edward Jones Dome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2002,October,778,610,Ford Field,dome,fieldturf,5,6,N/A,N/A,N/A,N/A
2002,October,778,612,Louisiana Superdome,dome,astroturf,5,6,N/A,N/A,N/A,N/A
2002,October,778,613,Georgia Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2002,October,785,621,Hubert H. Humphrey Metrodome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2002,October,785,627,Louisiana Superdome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2002,November,791,634,RCA Dome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2002,November,791,635,Reliant Stadium,retractable roof (closed),grass,2,4,N/A,N/A,N/A,N/A
2002,November,791,639,Ford Field,dome,fieldturf,3,3,N/A,N/A,N/A,N/A
2002,November,791,640,Georgia Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2002,November,798,648,Hubert H. Humphrey Metrodome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2002,November,798,652,Edward Jones Dome,dome,astroturf,1,1,N/A,N/A,N/A,N/A
2002,November,805,662,Hubert H. Humphrey Metrodome,dome,astroturf,1,1,N/A,N/A,N/A,N/A
2002,November,805,663,RCA Dome,dome,astroturf,3,6,N/A,N/A,N/A,N/A
2002,November,805,670,Georgia Dome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2002,November,805,673,Ford Field,dome,fieldturf,1,1,N/A,N/A,N/A,N/A
2002,November,806,677,Edward Jones Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2002,November,812,682,Louisiana Superdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2002,November,816,694,Ford Field,dome,fieldturf,6,6,N/A,N/A,N/A,N/A
2002,December,820,696,Hubert H. Humphrey Metrodome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2002,December,820,704,RCA Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2002,December,820,708,Louisiana Superdome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
2002,December,834,733,Georgia Dome,dome,astroturf,2,3,N/A,N/A,N/A,N/A
2002,December,834,734,Ford Field,dome,fieldturf,5,6,N/A,N/A,N/A,N/A
2002,December,834,735,Louisiana Superdome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2002,December,834,740,Edward Jones Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2002,December,840,742,Hubert H. Humphrey Metrodome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2002,December,841,745,RCA Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2002,December,841,751,Georgia Dome,dome,astroturf,5,6,N/A,N/A,N/A,N/A
2002,December,848,762,Ford Field,dome,fieldturf,2,3,N/A,N/A,N/A,N/A
2002,December,848,763,Louisiana Superdome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2002,December,848,768,RCA Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2002,December,849,773,Edward Jones Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
2003,September,1099,794,Ford Field,dome,fieldturf,1,1,N/A,N/A,N/A,N/A
2003,September,1106,801,RCA Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
2003,September,1106,804,Louisiana Superdome,dome,fieldturf,2,2,N/A,N/A,N/A,N/A
2003,September,1106,806,Edward Jones Dome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2003,September,1106,808,Georgia Dome,dome,fieldturf,2,4,N/A,N/A,N/A,N/A
2003,September,1106,815,Hubert H. Humphrey Metrodome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2003,September,1113,817,RCA Dome,dome,astroturf,5,7,N/A,N/A,N/A,N/A
2003,September,1113,819,Reliant Stadium,retractable roof (closed),grass,0,0,N/A,N/A,N/A,N/A
2003,September,1113,821,Georgia Dome,dome,fieldturf,2,3,N/A,N/A,N/A,N/A
2003,September,1113,822,Ford Field,dome,fieldturf,3,4,N/A,N/A,N/A,N/A
2003,September,1120,833,Edward Jones Dome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
2003,September,1120,835,Hubert H. Humphrey Metrodome,dome,astroturf,0,0,N/A,N/A,N/A,N/A
2003,September,1120,843,Louisiana Superdome,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
2003,October,1128,853,Georgia Dome,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
