"Year","Month","Days Since Sept 3rd 2000","#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
2000,September,0,0,Arrowhead Stadium,outdoors,grass,2,2,90,50,5,0
2000,September,0,2,FedExField,outdoors,grass,3,4,80,98,0,0
2000,September,0,4,Cleveland Browns Stadium,outdoors,grass,2,2,78,63,6,0
2000,September,0,5,Foxboro Stadium,outdoors,grass,1,2,71,93,5,0
2000,September,0,6,Three Rivers Stadium,outdoors,astroturf,3,4,74,84,8,0
2000,September,0,8,Giants Stadium,outdoors,grass,1,1,80,79,3,0
2000,September,0,9,Texas Stadium,outdoors,astroturf,4,4,109,19,5,0
2000,September,0,10,Network Associates Coliseum,outdoors,grass,0,1,64,49,10,0
2000,September,0,11,Pro Player Stadium,outdoors,grass,3,4,89,59,13,0
2000,September,0,12,Lambeau Field,outdoors,grass,5,7,77,66,5,0
2000,September,0,13,Ralph Wilson Stadium,outdoors,astroturf,5,7,73,78,10,0
2000,September,7,16,Paul Brown Stadium,outdoors,grass,1,2,74,93,5,0
2000,September,7,18,Ralph Wilson Stadium,outdoors,astroturf,3,3,81,62,8,0
2000,September,7,19,Raymond James Stadium,outdoors,grass,2,4,89,70,10,0
2000,September,7,20,Veterans Stadium,outdoors,astroturf,6,6,77,74,6,0
2000,September,7,21,PSINet Stadium,outdoors,grass,6,6,82,72,5,0
2000,September,7,22,Adelphia Coliseum,outdoors,grass,1,2,80,84,13,0
2000,September,7,23,Qualcomm Stadium,outdoors,grass,5,5,76,41,8,0
2000,September,7,24,Husky Stadium,outdoors,fieldturf,5,5,55,100,3,0
2000,September,7,25,3Com Park,outdoors,grass,1,1,63,76,6,0
2000,September,7,26,Mile High Stadium,outdoors,grass,2,2,84,15,10,0
2000,September,7,28,Sun Devil Stadium,outdoors,grass,5,5,100,26,7,0
2000,September,8,29,Giants Stadium,outdoors,grass,4,5,72,76,5,0
2000,September,14,30,Ericsson Stadium,outdoors,grass,3,6,63,60,3,0
2000,September,14,31,Cleveland Browns Stadium,outdoors,grass,5,5,67,50,12,0
2000,September,14,32,Lambeau Field,outdoors,grass,3,4,67,60,9,0
2000,September,14,33,Alltel Stadium,outdoors,grass,2,5,71,0,5,0
2000,September,14,35,Giants Stadium,outdoors,grass,2,4,68,74,12,0
2000,September,14,37,Soldier Field,outdoors,grass,0,4,79,40,8,0
2000,September,14,38,Arrowhead Stadium,outdoors,grass,1,2,88,26,0,0
2000,September,14,39,Network Associates Coliseum,outdoors,grass,5,6,79,55,9,0
2000,September,14,40,Foxboro Stadium,outdoors,grass,0,1,70,0,15,0
2000,September,14,41,Husky Stadium,outdoors,fieldturf,3,4,68,80,3,0
