"#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
0,Arrowhead Stadium,outdoors,grass,2,2,90,50,5,0
1,Hubert H. Humphrey Metrodome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
2,FedExField,outdoors,grass,3,4,80,98,0,0
3,Georgia Dome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
4,Cleveland Browns Stadium,outdoors,grass,2,2,78,63,6,0
5,Foxboro Stadium,outdoors,grass,1,2,71,93,5,0
6,Three Rivers Stadium,outdoors,astroturf,3,4,74,84,8,0
7,Louisiana Superdome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
8,Giants Stadium,outdoors,grass,1,1,80,79,3,0
9,Texas Stadium,outdoors,astroturf,4,4,109,19,5,0
10,Network Associates Coliseum,outdoors,grass,0,1,64,49,10,0
11,Pro Player Stadium,outdoors,grass,3,4,89,59,13,0
12,Lambeau Field,outdoors,grass,5,7,77,66,5,0
13,Ralph Wilson Stadium,outdoors,astroturf,5,7,73,78,10,0
14,TWA Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
15,Hubert H. Humphrey Metrodome,dome,astroturf,2,2,N/A,N/A,N/A,N/A
16,Paul Brown Stadium,outdoors,grass,1,2,74,93,5,0
17,RCA Dome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
18,Ralph Wilson Stadium,outdoors,astroturf,3,3,81,62,8,0
19,Raymond James Stadium,outdoors,grass,2,4,89,70,10,0
20,Veterans Stadium,outdoors,astroturf,6,6,77,74,6,0
21,PSINet Stadium,outdoors,grass,6,6,82,72,5,0
22,Adelphia Coliseum,outdoors,grass,1,2,80,84,13,0
23,Qualcomm Stadium,outdoors,grass,5,5,76,41,8,0
24,Husky Stadium,outdoors,fieldturf,5,5,55,100,3,0
25,3Com Park,outdoors,grass,1,1,63,76,6,0
26,Mile High Stadium,outdoors,grass,2,2,84,15,10,0
27,Pontiac Silverdome,dome,astroturf,6,6,N/A,N/A,N/A,N/A
28,Sun Devil Stadium,outdoors,grass,5,5,100,26,7,0
29,Giants Stadium,outdoors,grass,4,5,72,76,5,0
30,Ericsson Stadium,outdoors,grass,3,6,63,60,3,0
